150 Inflation Regency/Municipality (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Consumer Price Index of Health Group and Sub (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Health,,,,,,,,,,,,,Medicines and Health Products,,,,,,,,,,,,,Outpatient Services,,,,,,,,,,,,,Inpatient Services,,,,,,,,,,,,,Other Health Services,,,,,,,,,,,,
,2024,,,,,,,,,,,,,2024,,,,,,,,,,,,,2024,,,,,,,,,,,,,2024,,,,,,,,,,,,,2024,,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Annually,January,February,March,April,May,June,July,August,September,October,November,December,Annually,January,February,March,April,May,June,July,August,September,October,November,December,Annually,January,February,March,April,May,June,July,August,September,October,November,December,Annually,January,February,March,April,May,June,July,August,September,October,November,December,Annually
KAB MESUJI,112.56,112.56,112.56,112.56,112.56,112.56,112.56,112.56,112.56,112.62,112.62,112.62,-,109.14,109.14,109.14,109.14,109.14,109.14,109.14,109.14,109.14,109.35,109.35,109.35,-,127.16,127.16,127.16,127.16,127.16,127.16,127.16,127.16,127.16,127.16,127.16,127.16,-,100,100,100,100,100,100,100,100,100,100,100,100,-,107.7,107.7,107.7,107.7,107.7,107.7,107.7,107.7,107.7,107.7,107.7,107.7,-
KOTA BANDAR LAMPUNG,102.17,102.71,102.14,102.46,100.87,100.92,100.85,102.52,102.68,102.68,103.56,103.08,-,102.05,102.49,101.37,102,98.87,98.97,98.84,102.1,102.41,102.41,104.14,103.2,-,100.74,101.84,101.84,101.84,101.84,101.84,101.84,101.84,101.84,101.84,101.84,101.84,-,100,100,100,100,100,100,100,100,100,100,100,100,-,108.89,108.89,108.89,108.89,108.89,108.89,108.89,108.89,108.89,108.89,108.89,108.89,-
KOTA METRO,101.71,101.71,101.51,101.49,101.99,102.37,102.13,102.16,102.26,102.35,102.68,103.09,-,101.67,101.67,101.23,101.19,101.19,102.02,101.51,101.56,101.79,101.98,102.72,102.72,-,102.91,102.91,102.91,102.91,104.43,104.43,104.43,104.43,104.43,104.43,104.43,105.67,-,100,100,100,100,100,100,100,100,100,100,100,100,-,100,100,100,100,100,100,100,100,100,100,100,100,-
TANJUNG PANDAN,102.6,102.6,102.6,102.6,102.6,101.17,101.2,101.2,101.2,101.23,101.23,101.37,-,103.19,103.19,103.19,103.19,103.19,100.48,100.54,100.54,100.54,100.54,100.54,100.81,-,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,-,100,100,100,100,100,100,100,100,100,100,100,100,-,100,100,100,100,100,100,100,100,100,100.41,100.41,100.41,-
KAB BANGKA BARAT,99.75,99.75,99.75,99.75,99.75,99.75,99.68,99.68,99.76,99.71,99.75,99.75,-,99.5,99.5,99.5,99.5,99.5,99.5,99.35,99.35,99.52,99.42,99.5,99.5,-,100,100,100,100,100,100,100,100,100,100,100,100,-,100,100,100,100,100,100,100,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,105.07,105.27,105.36,105.4,105.4,105.4,105.41,105.4,105.4,105.46,106.02,106.02,-,105.27,105.8,106.04,106.12,106.13,106.13,106.16,106.14,106.14,106.29,107.76,107.76,-,118.53,118.53,118.53,118.53,118.53,118.53,118.53,118.53,118.53,118.53,118.53,118.53,-,100,100,100,100,100,100,100,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,110.18,110.15,110.08,110.08,110.54,110.62,110.62,111,111.75,112.05,111.42,111.85,-,103.19,103.14,103.01,103.01,103.85,103.99,103.99,104.69,105.66,106.21,105.07,105.84,-,119.84,119.84,119.84,119.84,119.84,119.84,119.84,119.84,120.13,120.13,120.13,120.13,-,115.94,115.94,115.94,115.94,115.94,115.94,115.94,115.94,116.51,116.51,116.51,116.51,-,122.09,122.09,122.09,122.09,122.09,122.09,122.09,122.09,123,123,123,123,-
KAB KARIMUN,109.28,109.39,109.29,108.86,109.53,109.53,109.53,110.3,110.3,110.38,110.38,110.38,-,99.15,99.34,99.17,98.41,98.02,98.02,98.02,99.36,99.36,99.49,99.49,99.49,-,100,100,100,100,103.04,103.04,103.04,103.04,103.04,103.04,103.04,103.04,-,175.85,175.85,175.85,175.85,175.85,175.85,175.85,175.85,175.85,175.85,175.85,175.85,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BATAM,102.37,102.55,102.89,102.89,102.92,102.94,102.94,103,102.99,102.9,103.02,103.17,-,101.06,101.41,102.1,102.1,102.15,102.21,102.21,102.32,102.3,101.92,102.17,102.48,-,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.6,100.6,100.6,-,108.86,108.86,108.86,108.86,108.86,108.86,108.86,108.86,108.86,108.86,108.86,108.86,-,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,-
KOTA TANJUNG PINANG,105.38,106.56,106.57,106.53,106.91,106.92,107,107,106.96,107.4,107.4,107.4,-,100.65,102.54,102.56,102.49,103.1,103.13,103.26,103.24,103.18,103.9,103.9,103.9,-,111,111,111,111,111,111,111,111,111,111,111,111,-,135.1,135.1,135.1,135.1,135.1,135.1,135.1,135.1,135.1,135.1,135.1,135.1,-,100,100,100,100,100,100,100,100,100,100,100,100,-
